649037 -22 -18
649042 -20 -16
649047 -18 -14
649052 -16 -13
649057 -15 -11
649062 -13 -9
649067 -11 -7
649072 -9 -5
649077 -7 -3
649082 -5 -1
649087 -3 1
649092 -1 3
649097 0 5
649102 2 7
649107 4 9
649112 6 11
649117 8 13
649122 10 15
649127 11 17
649132 14 18
649137 15 20
649142 17 22
649147 20 24
649152 21 26
649157 23 28
649162 25 29
649167 27 31
649172 28 33
649177 30 34
649182 32 36
649187 34 38
649192 35 39
649197 37 41
649202 38 42
649207 40 44
649212 42 45
649217 43 46
649222 44 48
649227 45 49
649232 47 50
649237 48 51
649242 49 53
649247 51 54
649252 52 55
649257 53 56
649262 54 57
649267 55 57
649272 56 58
649277 56 59
649282 57 60
649287 58 60
649292 59 61
649297 59 61
649302 60 62
649307 60 62
649312 61 63
649317 61 63
649322 62 63
649327 62 63
649332 62 63
649337 62 64
649342 63 64
649347 63 63
649352 63 63
649357 62 63
649362 62 63
649367 62 63
649372 62 62
649377 62 62
